username		balance		fee
123456	169189189.848420	8.470000
654321	-1468.180000	78.720000
zhangliyang	12518.475000	2.590000
louzifan	0.000000	0.000000
yeshihao	-7.490000	0.000000
temp	76.455000	3.045000
zhangchi	-217.280000	23.280000
xioxuanyi	0.000000	0.000000
yangzimo	-15.120000	0.000000
yeqirui	0.000000	0.000000
lihaoming	0.000000	0.000000
lihao	0.000000	0.000000
chenhaomiao	0.000000	0.000000
xieyiyang	0.000000	0.000000
zhangshihao	0.000000	0.000000
houjiangchao	0.000000	0.000000
xiangzixu	0.000000	0.000000
zhengweijun	0.000000	0.000000
zhoujiacheng	0.000000	0.000000
xuejiete	-2.240000	0.240000
zhuoxiaoqi	0.000000	0.000000
yangyuxin	0.000000	0.000000
luxuancheng	0.000000	0.000000
wanjiahui	0.000000	0.000000
yeqicheng	0.000000	0.000000
jinyiqing	0.000000	0.000000
quziting	0.000000	0.000000
lizichen	0.000000	0.000000
zhangyinfeng	0.000000	0.000000
huangzhuoer	0.000000	0.000000
kebochao	0.000000	0.000000
chendeyuan	0.000000	0.000000
huashaokai	0.000000	0.000000
chenqinghui	0.000000	0.000000
jiangyuting	0.000000	0.000000
zhouyihao	0.000000	0.000000
zhangzixuan	0.000000	0.000000
ligen	0.000000	0.000000
wuzejia	0.000000	0.000000
lizhiheng	0.000000	0.000000
yechenglin	0.000000	0.000000
shaochenhao	0.000000	0.000000
jiangyiyang	0.000000	0.000000
zhaopengrun	0.000000	0.000000
zhouzhi	0.000000	0.000000
huangziheng	0.000000	0.000000
shenruipu	0.000000	0.000000
chenhaoxi	0.000000	0.000000
laiyanlun	0.000000	0.000000
chengyanxi	0.000000	0.000000
zhengyaochen	0.000000	0.000000
wangyuanbo	0.000000	0.000000
lizongkai	0.000000	0.000000
zhaoweishuo	0.000000	0.000000
wangyicheng	0.000000	0.000000
linruixuan	0.000000	0.000000
panyile	0.000000	0.000000
jinzhian	0.000000	0.000000
chenyanxi	0.000000	0.000000
zhuxumo	0.000000	0.000000
zhengwanlong	0.000000	0.000000
guohan	0.000000	0.000000
yezihan	0.000000	0.000000
